,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,SERIE_ANO,CIÊNCIAS,LÍNGUA PORTUGUESA,MATEMÁTICA,MAT_PT_TOTAL
157,HELENA LOMBARDI BRAGA PROFESSORA,35003086,486.0,603.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,544.0,598.0,1142.0,0.0,0.0,2,1,VIRGINIA DE MIRANDA,138,RUA,JARDIM NORMA,8240010,-23.5266316,-46.4526737,EM-3ª série,"276,5",267.3,259.9,527.2
158,CIDADE DE HIROSHIMA,35003104,552.0,991.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,889.0,996.0,1613.0,272.0,59.0,2,1,VENANCIO LISBOA,382,RUA,JARDIM NOSSA SENHORA DO CARMO,8280590,-23.5681526,-46.4693974,EM-3ª série,"273,6",265.3,261.1,526.4000000000001
159,APPARECIDA RAHAL PROFESSORA,35003116,526.0,503.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,504.0,573.0,774.0,303.0,0.0,2,1,FONTOURA XAVIER,542,RUA,ITAQUERA,8295300,-23.54975,-46.45539,EM-3ª série,"264,1",265.0,252.8,517.8
160,DECIO FERRAZ ALVIM PROFESSOR DOUTOR,35003128,360.0,461.0,0.0,38.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,707.0,780.0,1083.0,404.0,9.0,2,1,RUA EDMUNDO DA CUNHA,95,RUA,JARDIM ESTER,8330230,-23.6207,-46.46302,EM-3ª série,"245,6",253.7,256.8,510.5
161,LUIZ ROSANOVA PROFESSOR,35003141,386.0,498.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,487.0,475.0,636.0,326.0,20.0,2,1,MIGUEL ACHIOLE DA FONSECA,1447,AVENIDA,JARDIM SAO PAULOZONA LESTE,8461110,-23.5597125,-46.4038964,EM-3ª série,"266,8",242.9,242.9,485.8
162,LUZIA DE QUEIROZ E OLIVEIRA PROFA,35003153,333.0,198.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,257.0,285.0,542.0,0.0,180.0,2,1,ITAQUERA,5912,AVENIDA,CIDADE LIDER,8285060,-23.5531436,-46.4714726,EM-3ª série,"239,1",243.4,242.2,485.6
163,MILTON CRUZEIRO PROFESSOR,35003220,728.0,932.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,931.0,928.0,1130.0,729.0,0.0,2,1,ALAMANDAS,36,AVENIDA,CIDADE ANTONIO ESTEVAO DE CARVALHO,8225310,-23.5355419,-46.4675919,EM-3ª série,"249,5",252.4,253.2,505.6
164,ADELINO JOSE DA SILVA D AZEVEDO PROF,35003232,236.0,262.0,25.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,255.0,298.0,446.0,107.0,7.0,2,1,ALBERTO DE MACEDO,127,RUA,JARDIM SANTA ADELIA,3973000,-23.6206425,-46.4795118,EM-3ª série,"267,6",250.1,252.6,502.7
165,ADHEMAR ANTONIO PRADO PROFESSOR,35003244,391.0,318.0,3.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,384.0,376.0,760.0,0.0,325.0,2,1,FERNANDES TOURINHO,133,RUA,JARDIM VERA CRUZZONA LESTE,8330120,-23.6171596,-46.47002403,EM-3ª série,"272,6",262.5,259.6,522.1
166,PEDRO TAQUES,35003256,291.0,464.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,633.0,614.0,742.0,505.0,0.0,2,1,CARLOS RUHL COMANDANTE,56,RUA,VILA PRINCESA ISABEL,8410130,-23.545074,-46.4142855,EM-3ª série,266,262.7,249.1,511.79999999999995
167,SEBASTIAO FARIA ZIMBRES PROFESSOR,35003268,229.0,374.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,335.0,321.0,656.0,0.0,3.0,2,1,QUINTA DO PACO,45,RUA,VILA MARILENA,8411280,-23.55292194,-46.40872963,EM-3ª série,"261,5",258.8,244.0,502.8
168,SAO JOAO EVANGELISTA,35003273,372.0,533.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,561.0,615.0,1176.0,0.0,0.0,2,1,FORTE CANANEIA,3,RUA,PARQUE SAO LOURENCO,8340020,-23.6010053,-46.4638535,EM-3ª série,"275,1",267.8,257.4,525.2
169,ROMEU DE MORAES,35003372,223.0,237.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,203.0,300.0,503.0,0.0,0.0,2,1,RUA TONELERO,407,RUA,VILA IPOJUCA,5056000,-23.53133526,-46.70411961,EM-3ª série,"275,3",280.8,279.2,560.0
170,ANHANGUERA,35003384,2.0,515.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,313.0,274.0,587.0,0.0,2.0,2,1,RUA ANTONIO RAPOSO,87,RUA,LAPA,5074020,-23.5219783,-46.7054821,EM-3ª série,"289,2",277.7,265.5,543.2
171,PEREIRA BARRETO,35003402,1.0,402.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,238.0,211.0,449.0,0.0,449.0,2,1,RUA NOSSA SENHORA DA LAPA,615,RUA,LAPA,5072000,-23.5245167,-46.7055331,EM-3ª série,"291,7",288.5,278.9,567.4
172,CANUTO DO VAL,35003426,372.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,361.0,406.0,767.0,0.0,0.0,2,1,AVENIDA DOUTOR ABRAAO RIBEIRO,526,AVENIDA,BOM RETIRO,1133020,-23.5206021,-46.656871,EM-3ª série,"280,5",277.7,270.4,548.0999999999999
173,JOAO KOPKE,35003451,445.0,387.0,16.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,489.0,549.0,922.0,116.0,0.0,2,1,ALAMEDA CLEVELAND,331,ALAMEDA,CAMPOS ELISEOS,1218000,-23.5322419,-46.6420806,EM-3ª série,"292,8",275.9,269.3,545.2
174,ZULEIKA DE BARROS MARTINS FERREIRA PROFESSORA,35003499,2.0,356.0,14.0,60.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,209.0,208.0,417.0,0.0,1.0,2,1,RUA PADRE CHICO,420,RUA,PERDIZES,5008010,-23.5292352,-46.6832952,EM-3ª série,"274,4",281.5,272.0,553.5
175,ALARICO SILVEIRA DOUTOR,35003530,286.0,142.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,203.0,240.0,443.0,0.0,125.0,2,1,RUA CONSELHEIRO BROTERO,100,RUA,BARRA FUNDA,1154000,-23.5281402,-46.6558936,EM-3ª série,"280,4",217.5,226.2,443.7
176,JOSE MONTEIRO BOANOVA PROFESSOR,35003542,211.0,351.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,270.0,326.0,596.0,0.0,3.0,2,1,RUA DALTON,10,RUA,ALTO DA LAPA,5086030,-23.5259,-46.7225,EM-3ª série,"265,1",280.4,275.8,556.2
177,MAURO DE OLIVEIRA PROFESSOR,35003554,2.0,287.0,16.0,29.0,80.0,1.0,1.0,0.0,0.0,1.0,0.0,182.0,142.0,324.0,0.0,324.0,2,1,RUA PEDRO SOARES DE ALMEIDA,134,RUA,VILA ANGLO BRASILEIRA,5029030,-23.5421743,-46.6943926,EM-3ª série,"309,7",296.1,289.9,586.0
178,MISS BROWNE,35003566,113.0,107.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,103.0,143.0,246.0,0.0,0.0,2,1,RUA PADRE CHICO,102,RUA,PERDIZES,5008010,-23.5059333,-46.58639,EM-3ª série,"282,4",268.0,266.8,534.8
179,MANUEL CIRIDIAO BUARQUE PROFESSOR,35003585,2.0,476.0,10.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,289.0,262.0,551.0,0.0,0.0,2,1,RUA CERRO CORA,770,RUA,VILA ROMANA,5061100,-23.5399902,-46.7038066,EM-3ª série,"286,4",280.7,283.4,564.0999999999999
180,EMILIANO AUGUSTO CAVALCANTI DE ALBUQUERQUE E MELO,35003657,100.0,312.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,215.0,254.0,469.0,0.0,0.0,2,1,AVENIDA DIOGENES RIBEIRO DE LIMA,2001,AVENIDA,ALTO DE PINHEIROS,5458001,-23.5428102,-46.7171559,EM-3ª série,"299,1",289.2,281.4,570.5999999999999
181,ALEXANDRE VON HUMBOLDT,35003669,6.0,482.0,20.0,98.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,272.0,238.0,510.0,0.0,510.0,2,1,RAIMUNDO PEREIRA DE MAGALHAES,1201,AVENIDA,VILA ANASTACIO,5092040,-23.50962733,-46.71518955,EM-3ª série,"290,3",291.9,289.5,581.4
182,FIDELINO DE FIGUEIREDO PROFESSOR,35003670,508.0,630.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,595.0,716.0,1147.0,164.0,0.0,2,1,RUA IMACULADA CONCEICAO,71,RUA,VILA BUARQUE,1226020,-23.5389663,-46.653018,EM-3ª série,"290,1",281.0,269.3,550.3
183,FERNAO DIAS PAES,35003682,54.0,690.0,31.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,467.0,409.0,762.0,114.0,24.0,2,1,PEDROSO DE MORAIS,420,,PINHEIROS,5420000,-23.5655802,-46.6895396,EM-3ª série,"289,6",279.0,277.1,556.1
184,ANTONIO ALVES CRUZ PROFESSOR,35003700,1.0,319.0,15.0,120.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,171.0,175.0,346.0,0.0,346.0,2,1,RUA ALVES GUIMARAES,1511,RUA,PINHEIROS,5410002,-23.5500071,-46.6825178,EM-3ª série,"312,9",292.1,300.2,592.3
185,ROLDAO LOPES DE BARROS PROFESSOR,35003724,108.0,330.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,361.0,427.0,517.0,271.0,0.0,2,1,RUA COLONIA DA GLORIA,580,RUA,JARDIM DA GLORIA,4113001,-23.5872239,-46.627441,EM-3ª série,"287,4",283.6,272.6,556.2
186,ARCY MAJOR,35003748,143.0,151.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,157.0,153.0,310.0,0.0,161.0,2,1,JOSE DE QUEIROS ARANHA DOUTOR,451,RUA,VILA MARIANA,4106062,-23.5787662,-46.6357,EM-3ª série,"322,5",298.0,302.8,600.8
187,MARIA JOSE,35003759,326.0,481.0,16.0,72.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,614.0,641.0,1138.0,117.0,0.0,2,1,RUA TREZE DE MAIO,267,,BELA VISTA,1327000,-23.5557508,-46.6463534,EM-3ª série,"269,7",265.8,261.9,527.7
188,COSTA MANSO MINISTRO,35003773,2.0,347.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,168.0,368.0,0.0,368.0,2,1,RUA JOAO CACHOEIRA,960,RUA,VILA NOVA CONCEICAO,4535003,-23.5882,-46.6768,EM-3ª série,287,280.8,286.3,567.1
189,FABIANO LOZANO MAESTRO,35003797,310.0,505.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,441.0,429.0,870.0,0.0,0.0,2,1,RUA HUMBERTO I,633,RUA,VILA MARIANA,4018031,-23.5858393,-46.6412478,EM-3ª série,"286,1",277.3,276.5,553.8
190,GODOFREDO FURTADO,35003839,171.0,100.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,157.0,131.0,288.0,0.0,113.0,2,1,RUA JOAO MOURA,727,RUA,JARDIM AMERICA,5412001,-23.5592648,-46.6785721,EM-3ª série,"276,6",273.9,267.8,541.7
191,CAETANO DE CAMPOS CONSOLACAO,35003852,249.0,415.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,397.0,416.0,697.0,116.0,408.0,2,1,RUA JOAO GUIMARAES ROSA,111,RUA,CONSOLACAO,1303030,-23.549612,-46.6471547,EM-3ª série,"302,2",284.8,286.5,571.3
192,MARTIM FRANCISCO,35003888,114.0,518.0,23.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,377.0,330.0,707.0,0.0,0.0,2,1,DOMINGOS FERNANDES,583,RUA,VILA NOVA CONCEICAO,4509011,-23.59247839,-46.67071375,EM-3ª série,"271,9",282.8,277.5,560.3
193,NAPOLEAO DE CARVALHO FREIRE PROFESSOR,35003924,162.0,583.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,407.0,412.0,819.0,0.0,17.0,2,1,RUA IRAUNA,815,RUA,INDIANOPOLIS,4518061,-23.6098963,-46.6722394,EM-3ª série,"288,8",291.3,285.8,577.1
194,OSWALDO ARANHA,35003931,320.0,341.0,41.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,349.0,332.0,681.0,0.0,344.0,2,1,AVENIDA PORTUGAL,859,AVENIDA,BROOKLIN PAULISTA,4559002,-23.6158458,-46.6818146,EM-3ª série,"301,7",287.1,287.4,574.5
195,MARIA EUGENIA MARTINS PROFESSORA,35004005,359.0,531.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,555.0,571.0,795.0,331.0,0.0,2,1,ALARICO FRANCO CAIUBI,651,RUA,JAGUARE,5330012,-23.54364,-46.74856,EM-3ª série,"265,1",254.8,257.8,512.6
196,GUIOMAR ROCHA RINALDI PROFESSORA,35004030,78.0,409.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,277.0,324.0,601.0,0.0,509.0,2,1,RUA DOM FRANCISCO CARDOSO AYRES,285,RUA,JARDIM CAMBARA,5560010,-23.5731179,-46.7424115,EM-3ª série,"256,5",265.5,252.5,518.0
197,ARCHITICLINO SANTOS PROFESSOR,35004066,319.0,242.0,32.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,275.0,310.0,585.0,0.0,239.0,2,1,RUA MAESTRO ITALO IZZO,110,RUA,PARQUE CONTINENTAL,5325200,-23.5416893,-46.759137,EM-3ª série,"278,3",271.7,268.9,540.5999999999999
198,EMYGDIO DE BARROS PROFESSOR,35004121,513.0,861.0,17.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,727.0,822.0,1380.0,169.0,0.0,2,1,AVENIDA NOSSA SENHORA DA ASSUNCAO,292,AVENIDA,VILA BUTANTA,5359000,-23.5732438,-46.7421591,EM-3ª série,"259,2",250.2,255.1,505.29999999999995
199,ALBERTO LEVY PROFESSOR,35004145,3.0,413.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,407.0,403.0,409.0,401.0,0.0,2,1,AVENIDA INDIANOPOLIS,1570,AVENIDA,INDIANOPOLIS,4062001,-23.6123115,-46.6514085,EM-3ª série,"289,5",270.3,268.3,538.6
200,ALBERTO TORRES,35004157,3.0,417.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,267.0,181.0,448.0,0.0,448.0,2,1,AVENIDA DOUTOR VITAL BRASIL,1260,AVENIDA,BUTANTA,5503000,-23.5686662,-46.7157021,EM-3ª série,"308,3",282.7,285.7,568.4
201,ANA ROSA DE ARAUJO DONA,35004169,377.0,487.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,462.0,435.0,897.0,0.0,9.0,2,1,RUA EDEN,100,RUA,VILA INAH,5619000,-23.5893855,-46.727187,EM-3ª série,"281,8",268.9,268.3,537.2
202,ANDRONICO DE MELLO PROFESSOR,35004170,3.0,376.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,212.0,214.0,426.0,0.0,426.0,2,1,RUA THEO DUTRA,33,RUA,JARDIM COLOMBO,5628000,-23.5974931,-46.7310577,EM-3ª série,"256,2",255.1,258.1,513.2
203,ADOLFO GORDO SENADOR,35004212,84.0,542.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,474.0,507.0,572.0,409.0,0.0,2,1,ARMANDO LOMBARDI DOM,223,RUA,VILA PROGREDIOR,5616010,-23.5873228,-46.7203446,EM-3ª série,"278,1",270.9,273.2,544.0999999999999
204,VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO,35004224,3.0,208.0,0.0,15.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,108.0,129.0,237.0,0.0,237.0,2,1,RUA DOMINGOS BARBIERI,350,RUA,JARDIM PREVIDENCIA,5531060,-23.57681,-46.72052,EM-3ª série,"306,2",292.7,294.5,587.2
205,PEDRO FONSECA PROFESSOR,35004236,265.0,359.0,11.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,305.0,363.0,668.0,0.0,28.0,2,1,RUA RUBENS GRISOLIA,65,RUA,JARDIM MONTE KEMEL,5634150,-23.6061156,-46.7307234,EM-3ª série,"257,5",252.1,262.1,514.2
206,MURTINHO NOBRE DOUTOR,35004297,284.0,358.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,336.0,373.0,709.0,0.0,0.0,2,1,RUA OUVIDOR PORTUGAL,789,RUA,VILA MONUMENTO,1551000,-23.5742483,-46.6120993,EM-3ª série,303,294.6,288.7,583.3
207,ATALIBA DE OLIVEIRA PROFESSOR,35004339,5.0,1035.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,618.0,763.0,933.0,448.0,12.0,2,1,RUA SAO SILVESTRE,400,RUA,SAO JOAO CLIMACO,4255080,-23.6237598,-46.5947549,EM-3ª série,"268,7",255.3,254.8,510.1
208,ROOSEVELT PRESIDENTE,35004340,277.0,409.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,516.0,518.0,1034.0,0.0,1.0,2,1,RUA SAO JOAQUIM,320,RUA,LIBERDADE,1508000,-23.5619027,-46.6357095,EM-3ª série,"277,9",268.9,262.7,531.5999999999999
209,NOSSA SENHORA APARECIDA,35004418,373.0,493.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,832.0,860.0,1227.0,465.0,0.0,2,1,RUA ALVARO FRAGOSO,734,RUA,VILA CARIOCA,4223000,-23.5985739,-46.5907282,EM-3ª série,266,258.7,254.4,513.1
210,MANUELA LACERDA VERGUEIRO,35004431,400.0,586.0,0.0,148.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,881.0,868.0,1089.0,660.0,41.0,2,1,RUA TAMUATA,176,RUA,SAO JOAO CLIMACO,4255140,-23.6218971,-46.592902,EM-3ª série,"266,8",260.1,255.8,515.9000000000001
211,ALEXANDRE DE GUSMAO,35004479,6.0,1196.0,17.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,720.0,653.0,1065.0,308.0,1.0,2,1,RUA  CISPLATINA,298,RUA,IPIRANGA,4211040,-23.5883563,-46.6043325,EM-3ª série,"279,2",270.3,270.2,540.5
212,EURYDICE ZERBINI PROFESSORA,35004480,116.0,227.0,27.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,159.0,214.0,373.0,0.0,242.0,2,1,EPIACABA,547,RUA,PARQUE FONGARO,4257145,-23.6342228,-46.5890473,EM-3ª série,"278,1",259.0,258.6,517.6
213,GUALTER DA SILVA PROFESSOR,35004492,245.0,325.0,17.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,284.0,341.0,625.0,0.0,8.0,2,1,RUA ANATOLE FRANCE,76,RUA,VILA MOINHO VELHO,4283050,-23.6062632,-46.6030998,EM-3ª série,"271,8",258.3,255.4,513.7
214,TEOTONIO ALVES PEREIRA,35004510,274.0,117.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,215.0,182.0,397.0,0.0,113.0,2,1,RUA ARCIPRESTE EZEQUIAS,734,RUA,VILA SAO JOSE IPIRANGA,4271060,-23.5908988,-46.6197141,EM-3ª série,"306,3",292.2,300.6,592.8
215,RAUL CARDOSO DE ALMEIDA PROFESSOR,35004522,383.0,460.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,415.0,529.0,944.0,0.0,0.0,2,1,RUA NOSSA SENHORA DAS MERCES,1000,RUA,VILA DAS MERCES,4165011,-23.626392,-46.6067462,EM-3ª série,"289,3",268.1,270.5,538.6
216,RAUL FONSECA,35004546,366.0,483.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,465.0,461.0,926.0,0.0,20.0,2,1,AVENIDA INHAIBA,92,AVENIDA,SAUDE,4292050,-23.6129743,-46.6090472,EM-3ª série,268,264.5,260.3,524.8
217,LYGIA DE AZEVEDO SOUZA E SA PROFESSORA,35004595,154.0,137.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,159.0,154.0,313.0,0.0,148.0,2,1,RUA DOUTOR MAURICIO DE LACERDA,322,RUA,SAO JUDAS,4303191,-23.6257949,-46.6358485,EM-3ª série,"271,6",289.0,283.0,572.0
218,MARIA AUGUSTA DE MORAES NEVES PROFESSORA,35004613,624.0,583.0,10.0,37.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,766.0,811.0,1077.0,500.0,0.0,2,1,HUGO VITOR SILVA,508,RUA,AMERICANOPOLIS,4340040,-23.6677911,-46.6424938,EM-3ª série,"250,6",246.6,244.8,491.4
219,MARIA RIBEIRO GUIMARAES BUENO PROFESSORA,35004625,312.0,180.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,238.0,261.0,499.0,0.0,179.0,2,1,RUA VUTURUNA,190,RUA,VILA DO BOSQUE,4147080,-23.6203544,-46.6297467,EM-3ª série,"329,8",295.3,292.8,588.1
220,HELOISA CARNEIRO PROFESSORA,35004674,495.0,457.0,27.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,674.0,722.0,1032.0,364.0,14.0,2,1,RUA ANTONIO COVELLO,58,RUA,JARDIM JABAQUARA,4383070,-23.6601606,-46.6583674,EM-3ª série,"275,6",254.8,262.7,517.5
221,PEROLA BYINGTON DONA,35004686,260.0,157.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,199.0,226.0,425.0,0.0,133.0,2,1,RUA DOUTOR ALCIDES DE CAMPOS,150,RUA,AMERICANOPOLIS,4336160,-23.662804,-46.6419383,EM-3ª série,"259,2",255.4,251.4,506.8
222,ANGELO MENDES DE ALMEIDA DOUTOR,35004698,0.0,241.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,149.0,108.0,257.0,0.0,257.0,2,1,APACE,SN,RUA,JARDIM ORIENTAL,4347110,-23.6449726,-46.6468829,EM-3ª série,"309,6",311.3,305.1,616.4000000000001
223,CARLOS AUGUSTO DE FREITAS VILLALVA JUNIOR DOUTOR,35004704,7.0,1617.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,956.0,914.0,1476.0,394.0,2.0,2,1,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,506,AVENIDA,JABAQUARA,4308000,-23.6333774,-46.6441728,EM-3ª série,"283,5",281.9,274.7,556.5999999999999
224,JOAO AMOS COMENIUS,35004736,701.0,963.0,13.0,0.0,32.0,1.0,1.0,1.0,0.0,1.0,1.0,940.0,963.0,1299.0,604.0,0.0,2,1,ESTEVAO MENDONCA,439,AVENIDA,VILA SANTA CATARINA,4372050,-23.649783,-46.657611,EM-3ª série,"281,1",273.5,264.5,538.0
225,JULIO RIBEIRO,35004741,1.0,458.0,17.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,279.0,318.0,437.0,160.0,0.0,2,1,RUA DOUTOR NESTOR ALBERTO DE MACEDO,117,RUA,VILA MORAES,4154020,-23.6257219,-46.6198572,EM-3ª série,"262,9",254.4,258.4,512.8
226,ANTONIO ALCANTARA MACHADO,35004777,189.0,480.0,22.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,500.0,462.0,654.0,308.0,0.0,2,1,RUA  AMERICO RIBEIRO,97,RUA,VILA GUMERCINDO,4130050,-23.6041346,-46.6164191,EM-3ª série,"278,3",263.5,269.3,532.8
227,BRASILIO MACHADO,35004790,3.0,225.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,121.0,122.0,243.0,0.0,243.0,2,1,RUA AFONSO CELSO,311,RUA,VILA MARIANA,4119001,-23.5946978,-46.6348681,EM-3ª série,"288,1",280.7,273.1,553.8
228,DOMINGOS QUIRINO FERREIRA CORONEL,35004807,397.0,593.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,657.0,679.0,960.0,376.0,0.0,2,1,CAFE,681,AVENIDA,VILA GUARANI Z SUL,4311001,-23.6323822,-46.6367809,EM-3ª série,255,259.8,255.9,515.7
229,JOSE VICENTE DE AZEVEDO CONDE,35004820,5.0,276.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,164.0,143.0,307.0,0.0,307.0,2,1,GUARAREMA,365,RUA,BOSQUE DA SAUDE,4136030,-23.6092595,-46.6257043,EM-3ª série,"295,3",289.1,298.1,587.2
230,RUI BLOEM,35004832,7.0,954.0,22.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,568.0,497.0,1065.0,0.0,1065.0,2,1,RUA DOS BOGARIS,244,RUA,MIRANDOPOLIS,4047020,-23.61064216,-46.6443489,EM-3ª série,"284,6",280.4,280.7,561.0999999999999
231,LEONOR QUADROS,35004868,728.0,605.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,693.0,765.0,1098.0,360.0,0.0,2,1,BALTAZAR GOMES DE ALARCAO,SN,RUA,JARDIM MIRIAM,4417270,-23.6810298,-46.6364655,EM-3ª série,"254,2",251.7,242.8,494.5
232,JOAO SILVA PROFESSOR,35004923,872.0,682.0,27.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,836.0,852.0,1097.0,591.0,0.0,2,1,ABILIO CESAR,243,,JARDIM SORAIA,5881020,-23.6804554,-46.7765578,EM-3ª série,"265,8",260.7,261.4,522.0999999999999
233,NEYDE APPARECIDA SOLLITTO PROFESSORA,35004947,532.0,489.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,730.0,766.0,1496.0,0.0,0.0,2,1,JOSE MARIA PINTO ZILLI,696,RUA,JARDIM DAS PALMAS,5749300,-23.6209015,-46.7463031,EM-3ª série,"279,6",257.2,258.3,515.5
234,MARIA PETRONILA LIMEIRA DOS MILAGRES MONTEIRO PROFESSORA,35004984,543.0,654.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,647.0,646.0,1191.0,102.0,3.0,2,1,MARIO LOPES LEAO,1050,AVENIDA,SANTO AMARO,4754010,-23.651426,-46.7155313,EM-3ª série,"278,2",273.2,266.3,539.5
235,DAVINA AGUIAR DIAS PROFESSORA,35004996,161.0,168.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,354.0,348.0,702.0,0.0,3.0,2,1,FRANCISCO DE ABREU,SN,,JARDIM IMBE,5863100,-23.67713277,-46.76705439,EM-3ª série,"276,7",265.6,268.3,533.9000000000001
